GO_ID	GO_Name	GO_Category	Enrichment	p_uncorrected	p_fdr_bh	Study_Count	Study_Total	Pop_Count	Pop_Total	Study_Genes	Depth
GO:0072216	positive regulation of metanephros development	BP	e	0.043560230699697215	1.0	1	229	3	15541	AGTR2	6
GO:0060748	tertiary branching involved in mammary gland duct morphogenesis	BP	e	0.043560230699697215	1.0	1	229	3	15541	AR	3
GO:0021800	cerebral cortex tangential migration	BP	e	0.043560230699697215	1.0	1	229	3	15541	ARX	7
GO:0002339	B cell selection	BP	e	0.043560230699697215	1.0	1	229	3	15541	BTK	2
GO:0034761	positive regulation of iron ion transmembrane transport	BP	e	0.043560230699697215	1.0	1	229	3	15541	HEPH	9
GO:0019046	release from viral latency	BP	e	0.05765629886611303	1.0	1	229	4	15541	HCFC1	2
GO:0035352	NAD transmembrane transport	BP	e	0.05765629886611303	1.0	1	229	4	15541	SLC25A53	10
GO:0010041	response to iron(III) ion	BP	e	0.05765629886611303	1.0	1	229	4	15541	G6PD	5
GO:0000964	mitochondrial RNA 5'-end processing	BP	e	0.05765629886611303	1.0	1	229	4	15541	HSD17B10	8
GO:0120188	regulation of bile acid secretion	BP	e	0.05765629886611303	1.0	1	229	4	15541	CLDN2	6
GO:0006772	thiamine metabolic process	BP	e	0.05765629886611303	1.0	1	229	4	15541	TKTL1	6
GO:0051387	negative regulation of neurotrophin TRK receptor signaling pathway	BP	e	0.05765629886611303	1.0	1	229	4	15541	AGTR2	7
GO:1990180	mitochondrial tRNA 3'-end processing	BP	e	0.05765629886611303	1.0	1	229	4	15541	HSD17B10	10
