GO_ID	Category
GO:0060896	development
GO:0021879	development
GO:0030855	development
GO:0120007	development
GO:0045590	development
GO:1902339	development
GO:0048858	development
GO:0031514	development
GO:0016203	development
GO:0035051	development
GO:0001840	development
GO:0061046	development
GO:0021680	development
GO:0019101	development
GO:1905299	development
GO:0036484	development
GO:0045648	development
GO:1903620	development
GO:0003290	development
GO:0003185	development
GO:0036304	development
GO:0021987	development
GO:0048663	development
GO:0060915	development
GO:0051797	development
GO:0060982	development
GO:0072539	development
GO:0060439	development
GO:0048731	development
GO:0003165	development
GO:0001865	development
GO:1902871	development
GO:0036446	development
GO:0048754	development
GO:0021903	development
GO:2000019	development
GO:0048534	development
GO:2001014	development
GO:0060767	development
GO:0021516	development
GO:0060351	development
GO:0072075	development
GO:0097108	development
GO:0021989	development
GO:0003289	development
GO:0007398	development
GO:0045650	development
GO:0045656	development
GO:0098535	development
GO:2000063	development
GO:0061102	development
GO:0040034	development
GO:0014002	development
GO:0016202	development
GO:0002302	development
GO:0048712	development
GO:2000314	development
GO:0003002	development
GO:0005874	development
GO:0035166	development
GO:0055025	development
GO:1903131	development
GO:0045671	development
GO:0060806	development
GO:0008009	development
GO:0048340	development
GO:0030910	development
GO:0060484	development
GO:1990357	development
GO:0003149	development
GO:0002062	development
GO:0003337	development
GO:0045063	development
GO:0048706	development
GO:0021877	development
GO:0048667	development
GO:1905899	development
GO:0043589	development
GO:0072078	development
GO:0060173	development
GO:0045669	development
GO:0048333	development
GO:2001051	development
GO:0021533	development
GO:0001503	development
GO:0001824	development
GO:0045659	development
GO:1905064	development
GO:0070306	development
GO:2000017	development
GO:0140074	development
GO:0003174	development
GO:0045685	development
GO:0001833	development
GO:0003193	development
GO:0009952	development
GO:0043627	development
GO:0060367	development
GO:0032331	development
GO:0061198	development
GO:0060066	development
GO:0060611	development
GO:0072190	development
GO:0035019	development
GO:1902262	development
GO:0072160	development
GO:1904956	development
GO:0003350	development
GO:0055020	development
GO:0048596	development
GO:0048539	development
GO:0060127	development
GO:0021861	development
GO:0030316	development
GO:0048869	development
GO:0050942	development
GO:0070367	development
GO:0046533	development
GO:0045137	development
GO:0032330	development
GO:0071600	development
GO:0060523	development
GO:0014902	development
GO:0045667	development
GO:0001829	development
GO:0043045	development
GO:1904761	development
GO:0060916	development
GO:0021517	development
GO:0060993	development
GO:0010743	development
GO:0030851	development
GO:0060197	development
GO:0048069	development
GO:0051525	development
GO:0060978	development
GO:0060283	development
GO:0021610	development
GO:0045623	development
GO:0048854	development
GO:0061052	development
GO:0072047	development
GO:0021776	development
GO:0038066	development
GO:0097410	development
GO:1905456	development
GO:0007420	development
GO:0002318	development
GO:0010453	development
GO:0060677	development
GO:0072050	development
GO:0009798	development
GO:0021762	development
GO:2000355	development
GO:0002329	development
GO:0007506	development
GO:0003207	development
GO:0021871	development
GO:0061441	development
GO:0003245	development
GO:0062208	development
GO:0021775	development
GO:0043380	development
GO:0032922	development
GO:1990384	development
GO:0060932	development
GO:0072182	development
GO:0003365	development
GO:2000074	development
GO:0009994	development
GO:1904340	development
GO:0060658	development
GO:0030098	development
GO:0060561	development
GO:2000320	development
GO:0019956	development
GO:0060492	development
GO:0021761	development
GO:1905454	development
GO:0051961	development
GO:0021957	development
GO:0072267	development
GO:1901706	development
GO:0061049	development
